hill-a/stable-baselines,openai/baselines
bq/Marlin,MarlinFirmware/Marlin
shuiblue/INTRUDE,FancyCoder0/INTRUDE
git-for-windows/git,git/git
cpriego/valet-linux,laravel/valet
popcorn-time/popcornflix,mafintosh/peerflix
typelevel/scala,scala/scala
thomasdavis/best-practices,timoxley/best-practices
bq/Marlin,MarlinFirmware/Marlin
microsoft/git,git-for-windows/git
akezeke/spotyxbmc2,xbmc/xbmc
spyhunter99/supertooltips,ryanjohn1/onboarding
milancermak/tornado,tornadoweb/tornado
gpc/export,nwwells/grails-export
steveschow/gfxCardStatus,codykrieger/gfxCardStatus
avr-rust/rust,rust-lang/rust
klassicstudios/Bonarr,Radarr/Radarr
Astron/panda3d,panda3d/panda3d
swilliams/jq-wysihat,basecamp/wysihat
woocommerce/selectWoo,select2/select2
RetroPie/EmulationStation,Aloshi/EmulationStation
manifoldai/docker-cookiecutter-data-science,drivendata/cookiecutter-data-science
cobbr/ObfuscatedEmpire,EmpireProject/Empire
fnagel/jquery-ui,jquery/jquery-ui
timmh/react-native-camera,react-native-community/react-native-camera
yjxiong/caffe,open-mmlab/caffe
JarbasAI/ZZZ-JarbasAI,MycroftAI/mycroft-core
normaldotcom/CANard,linklayer/pyvit
DerivcoIpswich/dsharp,nikhilk/scriptsharp
maniacbug/RTClib,adafruit/RTClib
ksclarke/freelib-marc4j,marc4j/marc4j
rasso1/MEOW,cyfdecyf/cow
randhindi/jerkson,codahale/jerkson
richthegeek/phpsass,MarcWeber/phamlp
joerocklin/chef-mariadb,sous-chefs/mysql
dbarros/WindowsAPICodePack,ljvankuiken/WindowsAPICodePack
fletcher/peg-multimarkdown,jgm/peg-markdown
OmarQunsul/graph-redis,antirez/redis
marcosdiez/aosp-morelang-ime,yuvipanda/aosp-morelang-ime
kennethjiang/heroku-buildpack-python-libffi,mfenniak/heroku-buildpack-python-libffi
giggls/openstreetmap-carto-de,gravitystorm/openstreetmap-carto
mercury233/ygopro,Fluorohydride/ygopro
mrdon/flask,pallets/flask
rounak/CustomScrollView,ole/CustomScrollView
leah/2048,gabrielecirulli/2048
OpenClinica/enketo-express-oc,kobotoolbox/enketo-express
Irma-Response/irma-api,sketch-city/harvey-api
ysakasin/Umi,windyakin/Honoka
x-wrt/x-wrt,openwrt/openwrt
intelpt/winafl-intelpt,googleprojectzero/winafl
keestux/avr-eclipse-plugin,mnlipp/avr-eclipse-fork
utiasASRL/batch-informed-trees,ompl/ompl
devinsays/underscores-grunt,Automattic/_s
nullart/debian-ubuntu-mariadb-backup,do-community/ubuntu-1604-mysql-backup
ianstormtaylor/animate.sass,daneden/animate.css
lambda2/text-roller,HubSpot/odometer
poanetwork/nifty-wallet,MetaMask/metamask-extension
mlenzen/nflgame,BurntSushi/nflgame
introlab/irl_audio,francoisferland/irl_audio
sandofsky/code_swarm,rictic/code_swarm
seanohue/ranviermud,RanvierMUD/ranviermud
todc/todc-datepicker,uxsolutions/bootstrap-datepicker
hawkfalcon/jenkins-clean-theme,Dakota628/jenkins-clean-theme
studioddtonline/Silverbird-M,cezarsa/silver_bird
mohland/dogetipbot,vindimy/altcointip
fabioparra/TypeScript,microsoft/TypeScript
nmav/cryptodev-linux,cryptodev-linux/cryptodev-linux
opattison/Pattern-Primer-Jekyll,adactio/Pattern-Primer
FabricMC/Enigma,phase/Enigma
xero/greybeard-devtools,s10wen/SO-Dark-Monokai-v3
tim-hub/machine-learning-books,dynamicdeploy/gninrael-enihcam
ApexWeed/orpheusbetter-crawler,Mechazawa/REDBetter-crawler
MachineGunnur/GOG-Games,Good-Old-Downloads/gg
daviddeutsch/select2-less-bootstrap,select2/select2
ppy/osuTK,opentk/opentk
MrAlvin/RTClib,adafruit/RTClib
gabu/iosched2010,underhilllabs/iosched
valeryan/valet-wsl,cpriego/valet-linux
mappum/altcoinj,bitcoinj/bitcoinj
zchrissirhcz/caffe-dssd,chengyangfu/caffe
sinelaw/wl-pprint,alexlegg/wl-pprint
zyedidia/tcell,gdamore/tcell
nirai-compiler/panda3d,Astron/panda3d
DanielT/NitroHack,Vanilla-NetHack/NetHack
SuperSayu/-tg-station,tgstation/tgstation
mboehme/winaflfast,googleprojectzero/winafl
bluetech/ng-annotate-patched,olov/ng-annotate
ShadowsocksForkOrg/ShadowsocksFork,Shadowsocksfork/ShadowsocksFork
diablomedia/doctrine1,doctrine/doctrine1
davglass/spark2,senchalabs/spark
msys2-contrib/git,git-for-windows/git
Phoenix09/filebot,filebot/filebot
milancermak/tornado,tornadoweb/tornado
gpc/export,nwwells/grails-export
steveschow/gfxCardStatus,codykrieger/gfxCardStatus
avr-rust/rust,rust-lang/rust
klassicstudios/Bonarr,Radarr/Radarr
Astron/panda3d,panda3d/panda3d
swilliams/jq-wysihat,basecamp/wysihat
woocommerce/selectWoo,select2/select2
RetroPie/EmulationStation,Aloshi/EmulationStation
manifoldai/docker-cookiecutter-data-science,drivendata/cookiecutter-data-science
cobbr/ObfuscatedEmpire,EmpireProject/Empire
fnagel/jquery-ui,jquery/jquery-ui
timmh/react-native-camera,react-native-community/react-native-camera
yjxiong/caffe,open-mmlab/caffe
JarbasAI/ZZZ-JarbasAI,MycroftAI/mycroft-core
normaldotcom/CANard,linklayer/pyvit
DerivcoIpswich/dsharp,nikhilk/scriptsharp
maniacbug/RTClib,adafruit/RTClib
ksclarke/freelib-marc4j,marc4j/marc4j
rasso1/MEOW,cyfdecyf/cow
randhindi/jerkson,codahale/jerkson
richthegeek/phpsass,MarcWeber/phamlp
joerocklin/chef-mariadb,sous-chefs/mysql
fletcher/peg-multimarkdown,jgm/peg-markdown
dbarros/WindowsAPICodePack,ljvankuiken/WindowsAPICodePack
OmarQunsul/graph-redis,antirez/redis
marcosdiez/aosp-morelang-ime,yuvipanda/aosp-morelang-ime
kennethjiang/heroku-buildpack-python-libffi,mfenniak/heroku-buildpack-python-libffi
giggls/openstreetmap-carto-de,gravitystorm/openstreetmap-carto
mercury233/ygopro,Fluorohydride/ygopro
mrdon/flask,pallets/flask
rounak/CustomScrollView,ole/CustomScrollView
leah/2048,gabrielecirulli/2048
OpenClinica/enketo-express-oc,kobotoolbox/enketo-express
Irma-Response/irma-api,sketch-city/harvey-api
ysakasin/Umi,windyakin/Honoka
x-wrt/x-wrt,openwrt/openwrt
intelpt/winafl-intelpt,googleprojectzero/winafl
keestux/avr-eclipse-plugin,mnlipp/avr-eclipse-fork
utiasASRL/batch-informed-trees,ompl/ompl
