fork,upstream,only_F,only_U,F->U,U->F
kylebarney/framework,laravel/framework,0,0,0,0,
carnevalle/framework,laravel/framework,0,0,0,0,
hutushen222/framework,laravel/framework,0,0,0,0,
pdewit/framework,laravel/framework,0,0,0,0,
gbradley/framework,laravel/framework,0,0,0,0,
fitztrev/framework,laravel/framework,0,0,0,0,
WERK38/framework,laravel/framework,0,0,0,0,
mani1986/framework,laravel/framework,0,0,0,0,
kylebarney/framework,laravel/framework,0,0,0,0,
carnevalle/framework,laravel/framework,0,0,0,0,
hutushen222/framework,laravel/framework,0,0,0,0,
pdewit/framework,laravel/framework,0,0,0,0,
gbradley/framework,laravel/framework,0,0,0,0,
fitztrev/framework,laravel/framework,0,0,0,0,
WERK38/framework,laravel/framework,0,0,0,0,
mani1986/framework,laravel/framework,0,0,0,0,
leftbak/framework,laravel/framework,0,0,0,0,
eroluysal/framework,laravel/framework,0,0,0,0,
amonger/framework,laravel/framework,0,0,0,0,
malyusha/framework,laravel/framework,0,0,0,0,
ryross/framework,laravel/framework,0,0,0,0,
StephaneBour/framework,laravel/framework,0,0,0,0,
Timurxhabiri/framework,laravel/framework,0,0,0,0,
jsanc623/framework,laravel/framework,0,0,0,0,
cruise-girl/framework,laravel/framework,0,0,0,0,
632699740/framework,laravel/framework,0,0,0,0,
rcboned/framework,laravel/framework,0,0,0,0,
enextiarg/framework,laravel/framework,0,0,0,0,
arekpietrzyk/framework,laravel/framework,0,0,0,0,
kfriend/framework,laravel/framework,0,0,0,0,
zimt28/framework,laravel/framework,0,0,0,0,
mro95/framework,laravel/framework,0,0,0,0,
mingalevme/framework,laravel/framework,0,0,0,0,
kingman21/framework,laravel/framework,0,0,0,0,
deye9/framework,laravel/framework,0,0,0,0,
TechyTimo/framework,laravel/framework,0,0,0,0,
yutianyong125/framework,laravel/framework,0,0,0,0,
Manc/laravel-framework,laravel/framework,0,0,0,0,
hosttor/framework,laravel/framework,0,0,0,0,
thevelement/laravel-form-model-checkbox-fix,laravel/framework,0,0,0,0,
benediktharter/framework,laravel/framework,0,0,0,0,
Mombuyish/framework,laravel/framework,0,0,0,0,
jeffturcotte/framework,laravel/framework,0,0,0,0,
s-ichikawa/framework,laravel/framework,0,0,0,0,
kevinsimard/framework,laravel/framework,0,0,0,0,
ibrasho-forks/framework,laravel/framework,0,0,0,0,
kylebarney/framework,laravel/framework,0,14972,0,0,
carnevalle/framework,laravel/framework,0,15015,0,0,
hutushen222/framework,laravel/framework,0,8671,3,0,
pdewit/framework,laravel/framework,0,14956,0,0,
gbradley/framework,laravel/framework,0,15011,0,0,
fitztrev/framework,laravel/framework,1,142,0,2631,
WERK38/framework,laravel/framework,0,14991,0,0,
mani1986/framework,laravel/framework,0,14972,0,0,
leftbak/framework,laravel/framework,0,14952,0,0,
eroluysal/framework,laravel/framework,0,14972,0,0,
amonger/framework,laravel/framework,1,3502,0,2873,
malyusha/framework,laravel/framework,1,3138,0,2873,
ryross/framework,laravel/framework,0,13801,18,0,
StephaneBour/framework,laravel/framework,2,1106,0,3202,
Timurxhabiri/framework,laravel/framework,0,15011,0,0,
jsanc623/framework,laravel/framework,1,10827,0,615,
cruise-girl/framework,laravel/framework,0,14956,0,0,
632699740/framework,laravel/framework,0,14991,0,0,
rcboned/framework,laravel/framework,0,14952,0,0,
enextiarg/framework,laravel/framework,1,3026,0,2873,
arekpietrzyk/framework,laravel/framework,0,14972,0,0,
kfriend/framework,laravel/framework,0,8138,0,1361,
zimt28/framework,laravel/framework,0,14201,3,0,
mro95/framework,laravel/framework,4,6082,0,2695,
mingalevme/framework,laravel/framework,0,3133,5,2873,
kingman21/framework,laravel/framework,0,14972,0,0,
deye9/framework,laravel/framework,0,14956,0,0,
TechyTimo/framework,laravel/framework,2,9948,0,808,
yutianyong125/framework,laravel/framework,0,14991,0,0,
